TRAMO CARRETERO,TIPO,AÑO,ENERO,FEBRERO,MARZO,ABRIL,MAYO,JUNIO,JULIO,AGOSTO,SEPTIEMBRE,OCTUBRE,NOVIEMBRE,DICIEMBRE
CHAPALILLA - COMPOSTELA,CAMINOS,2021,7134324,6062593,8523523,8734455,9177275,8305602,9282334,7982756,6795723,7852585,8154403,9274576
CUAUHTEMOC - ENT. OSIRIS,CAMINOS,2021,13763967,12359269,14313030,13816057,14222334,14162576,15439309,14652329,13399805,14468816,14371899,15291860
CULIACÁN,PUENTES NACIONALES,2021,6273599,5717574,6786550,6476316,6650910,6263691,6174266,5879737,6139837,6729231,6694611,7450797
SINALOA,PUENTES NACIONALES,2021,14985090,14192821,16538034,15530714,15247829,14422868,14505999,13542891,13776750,14921495,15183417,17237728
PÁNUCO,PUENTES NACIONALES,2021,3611228,3181972,3787197,3730316,3756143,3353603,3584451,3436293,3339290,3547891,3632028,4451555
ALVARADO,PUENTES NACIONALES,2021,3329653,2927579,3593650,3815515,3792385,3286791,3667504,3289264,3163950,3352847,3364994,4215631
PAPALOAPAN,PUENTES NACIONALES,2021,1866530,1687046,2014798,1976918,1891653,1620680,1630964,1551834,1515159,1604757,1741341,2245858
CARACOL,PUENTES NACIONALES,2021,5760257,5088357,6057108,5910861,5971642,5529024,5628873,5301414,5304349,5176422,5340469,6654710
NAUTLA,PUENTES NACIONALES,2021,5339647,4960168,5859823,5876974,5967047,5671488,6154119,5783071,5523597,5882506,5674240,6490400
GRIJALVA,PUENTES NACIONALES,2021,12169532,11421080,13318904,12670476,13194602,12692984,13263706,12879841,12186453,12200520,12623185,14105197
USUMACINTA,PUENTES NACIONALES,2021,4618714,4359715,5193162,5085666,5221265,5056190,5381047,5217552,4879262,4944459,5185406,5783899
CADEREYTA,PUENTES NACIONALES,2021,2241283,2025292,2353701,2202397,2284064,2334954,2428052,2373223,1949411,2401453,2324616,2495472
LA PIEDAD,PUENTES NACIONALES,2021,2148882,1886272,2586322,2620312,871139,377580,409188,607974,835971,1036704,1213500,1549961
TECOLUTLA,PUENTES NACIONALES,2021,4329046,4045628,4977999,4881719,4969359,4513301,5022954,4580646,4345315,4686882,4529172,5177183
SAN JUAN,PUENTES NACIONALES,2021,1433554,1359641,1756259,1703861,1772553,1701563,1689909,1820292,1726594,1789223,1741362,1818295
TAMPICO,PUENTES NACIONALES,2021,8919618,7369309,9177563,9442380,9530308,8625252,9538380,8979023,8130692,8816760,8684182,10870590
TLACOTALPAN,PUENTES NACIONALES,2021,926072,844599,1007493,1003694,990591,872253,986977,853164,824992,910278,939043,1160770
DOVALI JAIME,PUENTES NACIONALES,2021,13523577,13077822,14732047,14236018,14635249,13887834,14666776,14360540,13670640,14467869,14692341,16417778
DOVALI JAIME BIS,PUENTES NACIONALES,2021,284831,272078,314678,355643,389748,330244,348137,299960,262305,265322,262269,293448
REFINERIA LAZARO CARDENAS,PUENTES NACIONALES,2021,65941,44894,58897,66450,84459,75216,75845,69722,62866,74023,67514,70549
