ID,TRAMO,TIPO,FECHA,INGRESO,TIPO_COD,TRAMO_COD
1,ACUÑA,PUENTES INTERNACIONALES,2021-01-01,2641583.0,1,0
2,ACUÑA,PUENTES INTERNACIONALES,2021-02-01,2347680.0,1,0
3,ACUÑA,PUENTES INTERNACIONALES,2021-03-01,2974353.0,1,0
4,ACUÑA,PUENTES INTERNACIONALES,2021-04-01,2881961.0,1,0
5,ACUÑA,PUENTES INTERNACIONALES,2021-05-01,3346215.0,1,0
6,ACUÑA,PUENTES INTERNACIONALES,2021-06-01,3278700.0,1,0
7,ACUÑA,PUENTES INTERNACIONALES,2021-07-01,3268135.0,1,0
8,ACUÑA,PUENTES INTERNACIONALES,2021-08-01,3343617.0,1,0
9,ACUÑA,PUENTES INTERNACIONALES,2021-09-01,2310151.0,1,0
10,ACUÑA,PUENTES INTERNACIONALES,2021-10-01,3286680.0,1,0
11,ACUÑA,PUENTES INTERNACIONALES,2021-11-01,3439497.0,1,0
12,ACUÑA,PUENTES INTERNACIONALES,2021-12-01,3552231.0,1,0
13,ACUÑA,PUENTES INTERNACIONALES,2022-01-01,3444369.0,1,0
14,ACUÑA,PUENTES INTERNACIONALES,2022-02-01,3271286.0,1,0
15,ACUÑA,PUENTES INTERNACIONALES,2022-03-01,3843051.0,1,0
16,ACUÑA,PUENTES INTERNACIONALES,2022-04-01,3604543.0,1,0
17,ACUÑA,PUENTES INTERNACIONALES,2022-05-01,3696511.0,1,0
18,ACUÑA,PUENTES INTERNACIONALES,2022-06-01,3477669.0,1,0
19,ACUÑA,PUENTES INTERNACIONALES,2022-07-01,3608662.0,1,0
20,ACUÑA,PUENTES INTERNACIONALES,2022-08-01,3694385.0,1,0
21,ACUÑA,PUENTES INTERNACIONALES,2022-09-01,3615758.0,1,0
22,ACUÑA,PUENTES INTERNACIONALES,2022-10-01,3820114.0,1,0
23,ACUÑA,PUENTES INTERNACIONALES,2022-11-01,3759209.0,1,0
24,ACUÑA,PUENTES INTERNACIONALES,2022-12-01,3793504.0,1,0
25,ACUÑA,PUENTES INTERNACIONALES,2023-01-01,3853828.0,1,0
26,ACUÑA,PUENTES INTERNACIONALES,2023-02-01,3592230.0,1,0
27,ACUÑA,PUENTES INTERNACIONALES,2023-03-01,4005325.0,1,0
28,ACUÑA,PUENTES INTERNACIONALES,2023-04-01,3919307.0,1,0
29,ACUÑA,PUENTES INTERNACIONALES,2023-05-01,4056967.0,1,0
30,ACUÑA,PUENTES INTERNACIONALES,2023-06-01,4070093.0,1,0
31,ACUÑA,PUENTES INTERNACIONALES,2023-07-01,4409500.0,1,0
32,ACUÑA,PUENTES INTERNACIONALES,2023-08-01,4454397.0,1,0
33,ACUÑA,PUENTES INTERNACIONALES,2023-09-01,4299148.0,1,0
34,ACUÑA,PUENTES INTERNACIONALES,2023-10-01,4532380.0,1,0
35,ACUÑA,PUENTES INTERNACIONALES,2023-11-01,4345843.0,1,0
36,ACUÑA,PUENTES INTERNACIONALES,2023-12-01,3734332.0,1,0
37,ACUÑA,PUENTES INTERNACIONALES,2024-01-01,4201125.0,1,0
38,ACUÑA,PUENTES INTERNACIONALES,2024-02-01,4142592.0,1,0
39,ACUÑA,PUENTES INTERNACIONALES,2024-03-01,4336494.0,1,0
40,ACUÑA,PUENTES INTERNACIONALES,2024-04-01,4279887.0,1,0
41,ACUÑA,PUENTES INTERNACIONALES,2024-05-01,4307300.0,1,0
42,ACUÑA,PUENTES INTERNACIONALES,2024-06-01,4157339.0,1,0
43,ACUÑA,PUENTES INTERNACIONALES,2024-07-01,4274864.0,1,0
44,ACUÑA,PUENTES INTERNACIONALES,2024-08-01,4381643.0,1,0
45,ACUÑA,PUENTES INTERNACIONALES,2024-09-01,4207169.0,1,0
46,ACUÑA,PUENTES INTERNACIONALES,2024-10-01,0.0,1,0
47,ACUÑA,PUENTES INTERNACIONALES,2024-11-01,0.0,1,0
48,ACUÑA,PUENTES INTERNACIONALES,2024-12-01,0.0,1,0
49,ALVARADO,PUENTES NACIONALES,2021-01-01,3329653.0,2,1
50,ALVARADO,PUENTES NACIONALES,2021-02-01,2927579.0,2,1
51,ALVARADO,PUENTES NACIONALES,2021-03-01,3593650.0,2,1
52,ALVARADO,PUENTES NACIONALES,2021-04-01,3815515.0,2,1
53,ALVARADO,PUENTES NACIONALES,2021-05-01,3792385.0,2,1
54,ALVARADO,PUENTES NACIONALES,2021-06-01,3286791.0,2,1
55,ALVARADO,PUENTES NACIONALES,2021-07-01,3667504.0,2,1
56,ALVARADO,PUENTES NACIONALES,2021-08-01,3289264.0,2,1
57,ALVARADO,PUENTES NACIONALES,2021-09-01,3163950.0,2,1
58,ALVARADO,PUENTES NACIONALES,2021-10-01,3352847.0,2,1
59,ALVARADO,PUENTES NACIONALES,2021-11-01,3364994.0,2,1
60,ALVARADO,PUENTES NACIONALES,2021-12-01,4215631.0,2,1
61,ALVARADO,PUENTES NACIONALES,2022-01-01,3564309.0,2,1
62,ALVARADO,PUENTES NACIONALES,2022-02-01,3255884.0,2,1
63,ALVARADO,PUENTES NACIONALES,2022-03-01,3773741.0,2,1
64,ALVARADO,PUENTES NACIONALES,2022-04-01,4175651.0,2,1
65,ALVARADO,PUENTES NACIONALES,2022-05-01,4000665.0,2,1
66,ALVARADO,PUENTES NACIONALES,2022-06-01,3433162.0,2,1
67,ALVARADO,PUENTES NACIONALES,2022-07-01,3744009.0,2,1
68,ALVARADO,PUENTES NACIONALES,2022-08-01,3856640.0,2,1
69,ALVARADO,PUENTES NACIONALES,2022-09-01,3130828.0,2,1
70,ALVARADO,PUENTES NACIONALES,2022-10-01,3306609.0,2,1
71,ALVARADO,PUENTES NACIONALES,2022-11-01,3329939.0,2,1
72,ALVARADO,PUENTES NACIONALES,2022-12-01,4224804.0,2,1
73,ALVARADO,PUENTES NACIONALES,2023-01-01,3894432.0,2,1
74,ALVARADO,PUENTES NACIONALES,2023-02-01,3414438.0,2,1
75,ALVARADO,PUENTES NACIONALES,2023-03-01,3762889.0,2,1
76,ALVARADO,PUENTES NACIONALES,2023-04-01,4151345.0,2,1
77,ALVARADO,PUENTES NACIONALES,2023-05-01,3876897.0,2,1
78,ALVARADO,PUENTES NACIONALES,2023-06-01,3565601.0,2,1
79,ALVARADO,PUENTES NACIONALES,2023-07-01,4293226.0,2,1
80,ALVARADO,PUENTES NACIONALES,2023-08-01,4245928.0,2,1
81,ALVARADO,PUENTES NACIONALES,2023-09-01,3678629.0,2,1
82,ALVARADO,PUENTES NACIONALES,2023-10-01,3720068.0,2,1
83,ALVARADO,PUENTES NACIONALES,2023-11-01,3689388.0,2,1
84,ALVARADO,PUENTES NACIONALES,2023-12-01,4639796.0,2,1
85,ALVARADO,PUENTES NACIONALES,2024-01-01,4296626.0,2,1
86,ALVARADO,PUENTES NACIONALES,2024-02-01,3926357.0,2,1
87,ALVARADO,PUENTES NACIONALES,2024-03-01,4492218.0,2,1
88,ALVARADO,PUENTES NACIONALES,2024-04-01,4294284.0,2,1
89,ALVARADO,PUENTES NACIONALES,2024-05-01,4320376.0,2,1
90,ALVARADO,PUENTES NACIONALES,2024-06-01,3928388.0,2,1
91,ALVARADO,PUENTES NACIONALES,2024-07-01,4200889.0,2,1
92,ALVARADO,PUENTES NACIONALES,2024-08-01,4301766.0,2,1
93,ALVARADO,PUENTES NACIONALES,2024-09-01,3855204.0,2,1
94,ALVARADO,PUENTES NACIONALES,2024-10-01,0.0,2,1
95,ALVARADO,PUENTES NACIONALES,2024-11-01,0.0,2,1
96,ALVARADO,PUENTES NACIONALES,2024-12-01,0.0,2,1
97,CADEREYTA,PUENTES NACIONALES,2021-01-01,2241283.0,2,2
98,CADEREYTA,PUENTES NACIONALES,2021-02-01,2025292.0,2,2
99,CADEREYTA,PUENTES NACIONALES,2021-03-01,2353701.0,2,2
100,CADEREYTA,PUENTES NACIONALES,2021-04-01,2202397.0,2,2
101,CADEREYTA,PUENTES NACIONALES,2021-05-01,2284064.0,2,2
102,CADEREYTA,PUENTES NACIONALES,2021-06-01,2334954.0,2,2
103,CADEREYTA,PUENTES NACIONALES,2021-07-01,2428052.0,2,2
104,CADEREYTA,PUENTES NACIONALES,2021-08-01,2373223.0,2,2
